id,name,description,price,category_id,brand,image_url,images,variants,tags,details,store_type,featured,created_at,brand_id,sku,active,new,_actiontype,store_reference,material,weight,dimensions,rating,reviews_count
61,The Re-Run Baseball,"Une édition limitée de cette saison, inspirée par le passe-temps préféré des Américains, avec trois fils rouges cousus à la main sur le talon en référence au baseball.",190.00,20,MERCER,,{},"[{""size"": ""EU 41"", ""color"": ""White Blue"", ""stock"": 1}, {""size"": ""Eu 42"", ""color"": ""White Blue"", ""stock"": 2}, {""size"": ""EU 43"", ""color"": ""White Blue"", ""stock"": 3}, {""size"": ""EU 44"", ""color"": ""White Blue"", ""stock"": 2}, {""size"": ""EU 45"", ""color"": ""White Blue"", ""stock"": 1}]","{chaussures,sneakers,mercer,geneva}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : cuir recyclé GRS, PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,f,2025-04-14 00:00:00+00,32,MERCER-GEN-7,t,t,,ME251006/155,,,,,0
64,Mercer P22,"The P22 aims to bring sustainability to high performance trail running. Engineered to create a plush and stabile trail running shoe with a sustainable footprint that beats the big box brands to a knock-out.

 

Engineered by Mercer in collaboration with VIBRAM, the P22 outsole offers the ultimate grip featuring a Vibram MegaGrip rubber outsole and a plush two-layer midsole made from sugarcane and bamboo powder.

 

The engineered mesh is Bluesign Recycled Plastic, solution-dyed and GRS certified. The lining is a ultra breathable Oeko-Tex 100 certified. The shoe is further filled with recycled memory foam that cradles the ankle for ultimate comfort. Created with a heel drop of 6mm, creating a shoe that is on the “natural” side.

 

The rear crash pad affords an incredibly soft and balanced ride from heel strike to forefoot transition.",175.00,20,MERCER,https://res.cloudinary.com/dxen69pdo/image/upload/v1748199415/reboul-store/mercerp22_domepa.jpg,{https://res.cloudinary.com/dxen69pdo/image/upload/v1748199415/reboul-store/mercerp22_domepa.jpg},"[{""size"": ""40"", ""color"": ""Navy"", ""stock"": 1}, {""size"": ""41"", ""color"": ""Navy"", ""stock"": 2}, {""size"": ""42"", ""color"": ""Navy"", ""stock"": 3}, {""size"": ""43"", ""color"": ""Navy"", ""stock"": 4}, {""size"": ""44"", ""color"": ""Navy"", ""stock"": 3}, {""size"": ""45"", ""color"": ""Navy"", ""stock"": 2}, {""size"": ""46"", ""color"": ""Navy"", ""stock"": 1}]","{chaussures,sneakers,mercer,lisbon}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : cuir recyclé GRS, PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,t,2025-04-14 00:00:00+00,32,MERCER-LIS-10,t,t,,ME251015/601,,,,,0
104,Dice Lo Sneakers,"Fruit d'une double source d'inspiration, la Dice T-Toe Sneaker rend hommage aux chaussures d'athlétisme des années 1970, ainsi qu'aux baskets de skate des années 1990. Sa tige contrastée est fabriquée à la main en cuir.",200.00,20,Axel Arigato,"",{},"[{""size"": ""EU 41"", ""color"": ""Blanc"", ""stock"": 1}, {""size"": ""EU 42"", ""color"": ""Blanc"", ""stock"": 1}, {""size"": ""EU 43"", ""color"": ""Blanc"", ""stock"": 1}, {""size"": ""EU 44"", ""color"": ""Blanc"", ""stock"": 1}, {""size"": ""EU 45"", ""color"": ""Blanc"", ""stock"": 1}]",{},"{""Dessus : 100 % cuir"",""Doublure : 84 % polyester recyclé + 8 % polyuréthane + 8 % polyamide"",""Semelle : 80 % caoutchouc + 20 % caoutchouc recyclé ; hauteur de 34 mm / 1,34\"""",""Taille européenne"",""Logo estampillé en métal doré"",""Lacets plats"",""Modèle fabriqué à la main au Portugal""}",sneakers,f,2025-04-20 15:46:27.622364+00,6,DICETOE/WHITE,t,f,,DICETOE/WHITE,,,,,0
83,The Re-Run Neon - Femme,"Nous avons habillé notre modèle classique d'une tige métallique mate vintage, créant un look et une sensation à la fois sobres et uniques.",200.00,20,MERCER,"",{},"[{""size"": ""EU 36"", ""color"": ""Yellow Silver"", ""stock"": 1}, {""size"": ""EU 38"", ""color"": ""Yellow Silver"", ""stock"": 3}, {""size"": ""EU 40"", ""color"": ""Yellow Silver"", ""stock"": 2}, {""size"": ""EU 41"", ""color"": ""Yellow Silver"", ""stock"": 1}, {""size"": ""EU 37"", ""color"": ""Yellow Silver"", ""stock"": 2}, {""size"": ""EU 39"", ""color"": ""Yellow Silver"", ""stock"": 3}]","{chaussures,femme,mercer}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,f,2025-04-18 11:12:59.793155+00,32,WE251007/261,t,f,,WE251007/261,,,,,0
40,ASICS GEL KINETIC PIEDMONT,"La GEL-QUANTUM KINETIC allie ingénierie expérimentale et détails pratiques pour un usage quotidien. Très performante, ses composants techniques offrent une conception moderne parfaite pour l'exploration urbaine. ​

Des cuirs synthétiques et des empiècements en mesh sont superposés sur toute la tige pour améliorer le confort. Son look unique s'inspire des modèles de running ASICS emblématiques comme les séries GEL-NIMBUS, GEL-KUSHON, GEL-KINETIC et GEL-KINSEI.​

La semelle intermédiaire a été conçue à partir de l'expertise de l'Institut des sciences du sport ASICS. Elle est dotée de notre technologie Scutoid GEL qui présente une géométrie 3D très compacte et une structure désaxée. Cette composition améliore l'absorption des chocs lors d'un usage quotidien, comme les déplacements en ville ou les stations debout prolongées. ​",0.00,20,ASICS,  ,{},"[{""size"": ""EU 41.5"", ""color"": ""Gris"", ""stock"": 1}, {""size"": ""EU 42"", ""color"": ""Gris"", ""stock"": 2}, {""size"": ""EU 42.5"", ""color"": ""Gris"", ""stock"": 1}, {""size"": ""EU 43.5"", ""color"": ""Gris"", ""stock"": 3}, {""size"": ""EU 44"", ""color"": ""Gris"", ""stock"": 2}]","{asics,gel-kinetic,og,futuriste,y2k,cushion,chunky,maximaliste,avant-garde,millennial,collection}","{""ASICS GEL-KINETIC OG - Retour d'un modèle avant-gardiste des années 2000"",""Technologie GEL™ visible sur toute la semelle pour un amorti maximal"",""Concept \""Kinetic\"" innovant avec semelle dynamique multi-couches"",""Design futuriste caractéristique avec esthétique Y2K"",""Tige en mesh respirant avec renforts stratégiques en TPU"",""Semelle sculptée multi-densité pour un style distinctif"",""Éléments réfléchissants pour visibilité nocturne"",""Concept original développé pour les coureurs neutres cherchant un amorti maximal"",""Poids: 345g (taille 42)""}",sneakers,f,,37,AS001,t,f,  , kinetic_piedm ,  ,,  ,,0
46,"Asics GEL-NYC ""CREAM""","Plongez dans l'ère moderne avec la Asics Gel-NYC, une sneaker qui réinvente le quotidien ! Adoptez une allure tendance avec son coloris gris/noir, tout en bénéficiant du confort légendaire de la technologie GEL. Un choix parfait pour les amoureux de la culture sneaker.",0.01,20,ASICS,,,"[{""size"": ""EU 42"", ""color"": ""Crème"", ""stock"": 1}, {""size"": ""EU 42.5"", ""color"": ""Crème"", ""stock"": 1}, {""size"": ""EU 43.5"", ""color"": ""Crème"", ""stock"": 1}]","{asics,japanese,tiger,sportswear,heritage,running,comfort,quality,gel,sneakers,performance}","{""Chaussure ASICS avec technologie GEL™ signature de la marque"",""Conçue avec l'expertise running japonaise d'ASICS"",""Équilibre parfait entre performance technique et esthétique lifestyle"",""Amorti adapté pour un confort quotidien optimal"",""Construction durable fidèle à la réputation de qualité ASICS"",""Semelle en caoutchouc pour adhérence sur toutes les surfaces"",""Design intemporel inspiré de l'héritage sportif de la marque""}",sneakers,f,2025-04-10 14:51:05.915078+00,37,AS001,t,f,,NYC/CREAM,,,,,0
39,"ASICS GEL KINETIC ""Grey""","La GEL-QUANTUM KINETIC allie ingénierie expérimentale et détails pratiques pour un usage quotidien. Très performante, ses composants techniques offrent une conception moderne parfaite pour l'exploration urbaine. ​

Des cuirs synthétiques et des empiècements en mesh sont superposés sur toute la tige pour améliorer le confort. Son look unique s'inspire des modèles de running ASICS emblématiques comme les séries GEL-NIMBUS, GEL-KUSHON, GEL-KINETIC et GEL-KINSEI.​

La semelle intermédiaire a été conçue à partir de l'expertise de l'Institut des sciences du sport ASICS. Elle est dotée de notre technologie Scutoid GEL qui présente une géométrie 3D très compacte et une structure désaxée. Cette composition améliore l'absorption des chocs lors d'un usage quotidien, comme les déplacements en ville ou les stations debout prolongées. ​",0.00,20,ASICS,  ,{},"[{""size"": ""EU 41.5"", ""color"": ""Gris"", ""stock"": 1}, {""size"": ""EU 42"", ""color"": ""Gris"", ""stock"": 3}, {""size"": ""EU 42.5"", ""color"": ""Gris"", ""stock"": 2}, {""size"": ""EU 43.5"", ""color"": ""Gris"", ""stock"": 4}, {""size"": ""EU 44"", ""color"": ""Gris"", ""stock"": 2}, {""size"": ""EU 45"", ""color"": ""Gris"", ""stock"": 1}]","{asics,gel-kinetic,og,futuriste,y2k,cushion,chunky,maximaliste,avant-garde,millennial,collection}","{""ASICS GEL-KINETIC OG - Retour d'un modèle avant-gardiste des années 2000"",""Technologie GEL™ visible sur toute la semelle pour un amorti maximal"",""Concept \""Kinetic\"" innovant avec semelle dynamique multi-couches"",""Design futuriste caractéristique avec esthétique Y2K"",""Tige en mesh respirant avec renforts stratégiques en TPU"",""Semelle sculptée multi-densité pour un style distinctif"",""Éléments réfléchissants pour visibilité nocturne"",""Concept original développé pour les coureurs neutres cherchant un amorti maximal"",""Poids: 345g (taille 42)""}",sneakers,f,,37,AS001,t,f,  , kinetic_grey ,  ,,  ,,0
67,Mercer The Re-Run Vintage,Ce n'est pas pour rien qu'on l'appelle vintage ; la semelle jaunie crée un look et une ambiance qui s'accordent parfaitement avec notre marque. On dirait que vous les avez trouvées des années plus tard dans le placard de votre père.,175.00,20,MERCER,,{},"[{""size"": ""42"", ""color"": ""Creme"", ""stock"": 1}, {""size"": ""43"", ""color"": ""Creme"", ""stock"": 2}, {""size"": ""44"", ""color"": ""Creme"", ""stock"": 2}, {""size"": ""45"", ""color"": ""Creme"", ""stock"": 1}]","{chaussures,sneakers,mercer,copenhagen}","{""Semelle extérieure : EVA + caoutchouc recyclé"",""Tige : cuir recyclé GRS, PU recyclé GRS et mesh recyclé GRS"",""Semelle intérieure recyclée et semelle de montage recyclée"",""Doublure en mesh recyclé""}",sneakers,t,2025-04-14 00:00:00+00,32,MERCER-COP-3,t,t,,ME251001/101,,,,,0
36,ASICS GEL-1130,"Résultat d'une conception en constante évolution depuis des décennies, la GEL-1130 est un hommage à la neuvième version de la série GEL-1000. La chaussure de running stabilité de 2008 maintient parfaitement vos pieds où que votre esprit vous mène.

Ses matériaux classiques ont été réutilisés pour donner à cette chaussure rétro un look plus moderne.

De plus, cette chaussure rétro confortable a été repensée pour les rues de la ville, avec l'ajout de la technologie GEL dans le talon pour un confort durable.",120.00,20,ASICS,https://res.cloudinary.com/dxen69pdo/image/upload/v1743948117/reboul-store/jd_692501_a_h5haxj.jpg,{https://res.cloudinary.com/dxen69pdo/image/upload/v1743948117/reboul-store/jd_692501_a_h5haxj.jpg},"[{""size"": ""EU 38"", ""color"": ""WHBLK"", ""stock"": 1}, {""size"": ""EU 41.5"", ""color"": ""WHBLK"", ""stock"": 1}, {""size"": ""EU 42"", ""color"": ""WHBLK"", ""stock"": 2}, {""size"": ""EU 42.5"", ""color"": ""WHBLK"", ""stock"": 1}, {""size"": ""EU 43.5"", ""color"": ""WHBLK"", ""stock"": 2}, {""size"": ""EU 44"", ""color"": ""WHBLK"", ""stock"": 1}, {""size"": ""EU 44.5"", ""color"": ""WHBLK"", ""stock"": 1}, {""size"": ""EU 45"", ""color"": ""WHBLK"", ""stock"": 1}]","{asics,japanese,tiger,sportswear,heritage,running,comfort,quality,gel,sneakers,performance}","{""Chaussure ASICS avec technologie GEL™ signature de la marque"",""Conçue avec l'expertise running japonaise d'ASICS"",""Équilibre parfait entre performance technique et esthétique lifestyle"",""Amorti adapté pour un confort quotidien optimal"",""Construction durable fidèle à la réputation de qualité ASICS"",""Semelle en caoutchouc pour adhérence sur toutes les surfaces"",""Design intemporel inspiré de l'héritage sportif de la marque""}",sneakers,f,,37,AS001,t,f,  , gel1130_whblk ,  ,,  ,,0
105,Satellite Runner Sneakers,"La Satellite Runner se distingue par ses proportions à la fois volumineuses et aériennes. Réalisée en cuir, textile et maille ovale, elle est rehaussée d'une semelle intermédiaire en AXLFoam® pour une foulée ultra-légère.",200.00,20,Axel Arigato,"",{},"[{""size"": ""EU 40"", ""color"": ""White Blue"", ""stock"": 1}, {""size"": ""EU 41"", ""color"": ""White Blue"", ""stock"": 1}, {""size"": ""EU 42"", ""color"": ""White Blue"", ""stock"": 1}, {""size"": ""EU 44"", ""color"": ""White Blue"", ""stock"": 1}]",{},"{""Tige : 50 % cuir + 34 % textile + 16 % synthétique"",""Doublure : 100 % textile"",""Semelle : 66 % EVA + 34 % caoutchouc avec clip griffé en polyuréthane thermoplastique ; hauteur talon de 45 mm"",""Taille européenne"",""Semelle intermédiaire en mousse AXL double densité pour plus de confort"",""Détail griffé décoratif en toile"",""Détails par transfert de chaleur"",""Semelle rembourrée"",""Col en mousse"",""Marquage bulle en gel sur le côté"",""Fabriquée à la main au Vietnam""}",sneakers,f,2025-04-20 15:46:31.184564+00,6,SATE/WHBLUE,t,f,,SATE/WHBLUE,,,,,0
