id,name,description,logo_url,created_at,updated_at,logo_dark,logo_light
24,MARGIELA,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/MARGIELA/MARGIELA_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/MARGIELA/MARGIELA_b.png,/brands/MARGIELA/MARGIELA_w.png
36,MANUEL RITZ,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/MANUELRITZ/manuel_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/MANUELRITZ/MANUELRITZ_b.png,/brands/MANUELRITZ/MANUELRITZ_w.png
30,ASPESI,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/ASPESI/aspesi_b.png,2025-02-26 14:01:13.483+00,2025-02-26 14:01:13.483+00,/brands/ASPESI/aspesi_b.png,/brands/ASPESI/aspesi_w.png
17,CARHARTT,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/CARHARTT/CARHARTT_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/CARHARTT/carhartt_b.png,/brands/CARHARTT/carhartt_w.png
1,C.P.COMPANY,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/CPCOMPANY/CPCOMPANY_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/CPCOMPANY/CPCOMPANY_b.png,/brands/CPCOMPANY/CPCOMPANY_w.png
8,LES DEUX,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/LESDEUX/lesdeux_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/LESDEUX/lesdeux_b.png,/brands/LESDEUX/lesdeux_w.png
37,ASICS,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",,2025-04-04 14:29:46.925901+00,2025-04-04 14:29:58.384328+00,,
25,BISOUS SKATEBOARDS,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/BISOUS SKATEBOARDS/BISOUS_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/BISOUSSKATEBOARDS/BISOUSSKATEBOARDS_b.png,/brands/BISOUSSKATEBOARDS/BISOUSSKATEBOARDS_w.png
20,GOLDEN GOOSE,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/GOLDEN GOOSE/GOLDEN_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/GOLDENGOOSE/GOLDENGOOSE_b.png,/brands/GOLDENGOOSE/GOLDENGOOSE_w.png
18,ARTE,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/ARTE/ARTE_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/ARTE/ARTE_b.png,/brands/ARTE/ARTE_w.png
21,CHLOE,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/CHLOE/CHLOE_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/CHLOE/CHLOE_b.png,/brands/CHLOE/CHLOE_w.png
23,GIVENCHY,"Une vision moderne du style, entre lignes épurées et influences urbaines. Découvrez une collection au caractère affirmé.",/brands/GIVENCHY/GIVENCHY_b.png,2025-02-26 14:01:13.483615+00,2025-02-26 14:01:13.483615+00,/brands/GIVENCHY/GIVENCHY_b.png,/brands/GIVENCHY/GIVENCHY_w.png
